order_id,order_date_raw,category_raw,product_id,channel,quantity,unit_price,amount_raw
S00060,2024-12-28, одяг ,P010,retail,3,1763.01,5289.03
S00061,2024-07-21,ПОБУТОВА ТЕХНІКА,P044,online,3,7550.86,22 652.58
S00062,2025-12-03,Ноутбуки,P001,wholesale,2,17357.29,34714.58
S00063,2025-03-08,Ноутбуки,P026,retail,3,14149.82,42449.46
S00064,2024-02-07,Одяг,P055,wholesale,4,1957.69,7830.76
S00065,2024-05-01,Одяг,P015,retail,1,2266.49,"2266,49"
S00066,22.02.2024,Побутова техніка ,P049,retail,3,16912.81,(50 738.43)
S00067,18.04.2024,Одяг ,P010,online,4,2245.44,8981.76
S00068,2025-06-08,побутова техніка,P034,online,5,7911.80,39559.00
S00069,2024-02-20,ноутбуки,P031,online,2,23998.56,47997.12
S00070,25.02.2024,Смартфони ,P007,retail,4,24596.22,98384.88
S00071,2025-10-23,СМАРТФОНИ,P007,online,1,17478.42,17478.42 грн
S00072,26.04.2025,Аксесуари,P058,online,2,1343.03,2686.06 грн
S00073,11.05.2024,Смартфони,P027,online,5,19074.71,95373.55
S00074,02.08.2025,Смартфони ,P022,retail,5,24451.72,122258.60
S00075,15.06.2025,Одяг,P020,retail,4,2261.62,9046.48 грн
S00076,2024-06-10,Побутова техніка,P004,retail,4,17343.88,69375.52
S00077,07.06.2025,ноутбуки,P006,retail,4,11021.82,44087.28
S00078,23.06.2025,Побутова техніка,P054,retail,5,11476.69,57383.45
S00079,2024-05-30,Побутова техніка ,P044,retail,1,14866.36,14 866.36
S00080,2025-03-10,ОДЯГ,P010,wholesale,3,2741.24,8223.72
S00081,17.06.2024,Ноутбуки,P056,retail,5,22944.61,114723.05
S00082,2025-11-20,НОУТБУКИ,P006,online,2,31957.66,-63915.32
S00083,15.10.2025,Ноутбуки,P041,retail,4,15286.05,61144.20
S00084,2024-09-15,НОУТБУКИ,P011,online,1,24711.29,"24711,29"
S00085,2024-10-31,Смартфони,P062,online,4,5846.86,23387.44 грн
S00086,2025-11-08,Побутова техніка ,P044,online,3,1615.70,4847.10
S00087,2025-01-17,Одяг,P010,retail,4,1812.95,"7251,80"
S00088,2024-06-17,Смартфони,P047,online,4,4849.67,19398.68
S00089,2024-04-16,побутова техніка,P059,retail,1,19382.44,"19382,44"
S00090,2025-11-22,смартфони,P037,online,2,14268.70,28537.40
S00091,2024-02-16,АКСЕСУАРИ,P008,online,4,172.45,689.80
S00092,2024-09-11,ноутбуки,P036,retail,3,25266.09,75798.27
S00093,2024-02-23,одяг,P045,online,2,684.33,1368.66
S00094,2025-02-01,аксесуари,P033,retail,5,785.78,"3928,90"
S00095,2025-06-29,одяг,P005,online,5,681.12,3405.60
S00096,2024-11-10,АКСЕСУАРИ,P038,online,5,1111.71,5558.55
S00097,2025-10-26,одяг,P055,online,4,770.08,3080.32
S00098,2024-11-07,ноутбуки,P011,retail,4,34986.90,139 947.60
S00099,30.05.2024,Смартфони ,P002,wholesale,1,24383.13,"24383,13"
S00100,16.05.2024,Ноутбуки,P036,online,1,16813.81,"16813,81"
S00101,2024-02-04,НОУТБУКИ,P021,retail,1,10988.22,10 988.22
S00102,24.11.2025,Побутова техніка ,P059,online,5,8324.93,41624.65
S00103,07.03.2024,Аксесуари,P033,online,1,766.66,766.66
S00104,24.03.2024,Смартфони,P012,wholesale,5,15008.90,"75044,50"
S00105,2024-04-29,Ноутбуки,P051,retail,5,17678.93,88 394.65
S00106,2025-11-03,Одяг,P020,wholesale,1,2974.15,2974.15
S00107,13.03.2025,Ноутбуки ,P026,online,4,11410.11,45640.44
S00108,2024-11-21,Ноутбуки,P026,wholesale,4,14130.83,56523.32
S00109,27.06.2024,Ноутбуки,P021,online,1,24021.72,24021.72 грн
S00110,2024-09-11,Смартфони ,P042,online,2,6590.23,"13180,46"
S00111,2025-02-03,Ноутбуки,P046,retail,4,32786.19,131144.76 грн
S00112,2024-11-06,Аксесуари ,P008,retail,4,859.83,"3439,32"
S00113,2025-05-10,Побутова техніка,P039,retail,3,13820.94,41462.82
S00114,08.09.2024, аксесуари ,P028,online,3,223.26,"669,78"
S00115,13.12.2025,НОУТБУКИ,P041,retail,2,34970.59,69941.18
S00116,2024-05-26,Одяг,P040,online,5,1221.39,6106.95 грн
S00117,2025-06-01,Смартфони,P007,online,4,23529.96,94119.84
S00118,2024-10-31,Аксесуари,P058,wholesale,2,883.20,"(1766,40)"
S00119,12.01.2024,Аксесуари,P053,retail,5,333.86,1669.30
S00120,2024-07-25,побутова техніка,P059,retail,2,15720.27,"31440,54"
S00121,22.08.2025,Аксесуари,P023,online,2,445.41,890.82
S00122,21.03.2024,Ноутбуки,P026,online,1,16187.83,16 187.83
S00123,09.02.2024,Аксесуари,P038,retail,2,1278.17,2556.34
S00124,28.02.2025,Смартфони ,P027,online,2,24241.28,48482.56 грн
S00125,2024-06-30,побутова техніка,P044,retail,2,9984.86,19969.72
S00126,05.04.2024,Одяг,P005,wholesale,3,668.63,2005.89
S00127,2025-11-21,Одяг ,P035,retail,2,1678.39,"3356,78"
S00128,2024-10-16,Ноутбуки,P026,retail,3,30200.42,90601.26
S00129,03.11.2024,аксесуари,P018,retail,2,1259.75,"2519,50"
S00130,10.10.2024,Одяг,P025,online,4,2594.96,10379.84
S00131,2025-06-27,Одяг,P055,retail,4,2839.62,11358.48
S00132,2025-06-28,смартфони,P032,retail,5,16791.78,83958.90
S00133,2024-04-08,Ноутбуки,P031,wholesale,4,12182.87,"48731,48"
S00134,2025-02-20,Смартфони,P012,online,5,22264.28,111321.40
S00135,2024-01-25,Смартфони,P042,retail,2,15740.32,31480.64
S00136,02.04.2025,НОУТБУКИ,P031,online,1,33784.49,"33784,49"
S00137,29.11.2025,Аксесуари ,P033,retail,2,816.73,1633.46 грн
S00138,10.05.2025,Побутова техніка,P009,retail,4,10136.38,40545.52
S00139,27.05.2025,Ноутбуки,P021,online,5,21710.05,108550.25 грн
S00140,2025-01-24, смартфони ,P007,online,4,24557.29,98229.16
S00141,30.05.2025,ПОБУТОВА ТЕХНІКА,P039,retail,1,2171.66,2171.66
S00142,2025-09-24,Ноутбуки,P026,online,5,22366.50,111 832.50
S00143,27.03.2024,ОДЯГ,P035,retail,2,2168.58,4337.16
S00144,2025-12-27,Побутова техніка,P029,retail,5,8053.81,40269.05
S00145,26.12.2024,Смартфони ,P052,retail,5,9523.31,47616.55 грн
S00146,29.05.2025,НОУТБУКИ,P006,retail,3,26021.15,"78063,45"
S00147,11.10.2024, ноутбуки ,P016,wholesale,4,27541.55,"110166,20"
S00148,2024-04-16,Смартфони ,P052,retail,3,4125.14,12375.42
S00149,24.03.2024,одяг,P050,online,1,1396.14,1396.14 грн
S00150,2024-12-04,смартфони,P017,online,1,11931.20,11 931.20
S00151,2024-12-29,побутова техніка,P004,online,2,2944.88,"5889,76"
S00152,26.10.2025,Аксесуари ,P003,online,4,1958.62,"7834,48"
S00153,2024-03-19,одяг,P063,online,2,2403.66,4 807.32
S00154,2024-05-12,СМАРТФОНИ,P022,online,4,9037.71,36 150.84
S00155,08.11.2025, смартфони ,P037,retail,2,10878.40,21 756.80
S00156,2025-04-25,побутова техніка,P059,retail,2,4027.28,"8054,56"
S00157,16.02.2025,Аксесуари,P038,retail,3,307.13,921.39
S00158,2025-03-19,Ноутбуки ,P051,wholesale,4,26339.96,105359.84 грн
S00159,2024-01-23,Побутова техніка,P009,retail,4,5962.88,23851.52
S00160,10.12.2024,Одяг,P025,retail,5,2782.76,13 913.80
S00161,27.09.2025,побутова техніка,P019,retail,1,17085.36,17085.36
S00162,2024-06-02,ОДЯГ,P060,retail,2,970.79,1 941.58
S00163,2024-02-02,Смартфони,P042,wholesale,1,10738.27,10738.27
S00164,2024-09-24,ноутбуки,P046,online,3,30356.12,91068.36
S00165,15.11.2025,одяг,P015,online,4,2132.61,8530.44
S00166,2025-04-05,Ноутбуки ,P064,retail,2,27531.82,-55063.64
S00167,2025-10-06,Аксесуари ,P048,online,5,1750.49,"8752,45"
S00168,2025-03-26,Побутова техніка,P039,retail,4,17079.83,68319.32
S00169,09.10.2025,ноутбуки,P041,online,2,16268.04,32 536.08
S00170,20.06.2024,ПОБУТОВА ТЕХНІКА,P004,online,1,16534.06,"16534,06"
S00171,30.03.2024,ноутбуки,P016,retail,1,24750.81,"24750,81"
S00172,07.04.2024,смартфони,P052,online,2,23894.98,47789.96
S00173,14.10.2025,Аксесуари,P043,online,1,1540.78,"1540,78"
S00174,19.05.2024,ОДЯГ,P030,wholesale,5,606.14,(3030.70)
S00175,2025-04-08,побутова техніка,P059,online,1,6331.88,"6331,88"
S00176,06.07.2025, смартфони ,P037,online,4,19344.31,77377.24
S00177,2024-05-03,Побутова техніка,P054,online,5,14795.63,73978.15
S00178,30.08.2025,ОДЯГ,P045,retail,4,982.39,"3929,56"
S00179,2024-08-25,Побутова техніка,P044,online,4,5615.78,22463.12
S00180,13.03.2025,Аксесуари ,P048,wholesale,5,1132.36,5661.80 грн
S00181,11.10.2025,Одяг ,P015,retail,2,2841.08,5 682.16
S00182,2025-03-12,Ноутбуки,P056,online,1,22253.86,22 253.86
S00183,03.05.2024,Побутова техніка,P029,online,2,6468.49,12936.98
S00184,03.02.2025,Смартфони,P012,retail,2,3795.62,7591.24 грн
S00185,2024-08-29,Смартфони,P022,online,4,22584.24,-90336.96
S00186,2025-08-30,Одяг ,P025,wholesale,3,1819.59,5 458.77
S00187,2024-10-18,Аксесуари,P023,retail,5,1553.47,(7767.35)
S00188,2024-03-13,Одяг,P060,retail,5,1917.60,"9588,00"
S00189,2025-03-11,Смартфони ,P032,online,4,7719.90,30 879.60
S00190,21.08.2024,Побутова техніка ,P054,retail,2,5198.59,"10397,18"
S00191,2024-10-01,ОДЯГ,P030,online,1,2295.09,2295.09
S00192,2025-04-16,Одяг,P040,wholesale,2,271.07,"542,14"
S00193,03.03.2024,Аксесуари ,P013,retail,1,1516.96,1 516.96
S00194,2025-02-22,аксесуари,P008,online,4,718.86,2875.44
S00195,22.04.2024,Аксесуари,P033,wholesale,5,589.51,2 947.55
S00196,2025-10-07,аксесуари,P013,online,3,1096.54,"3289,62"
S00197,2024-11-30,Побутова техніка ,P004,online,2,19395.80,38791.60
S00198,28.05.2024,СМАРТФОНИ,P032,retail,2,13117.92,26235.84
S00199,21.02.2024,Аксесуари,P053,online,3,612.80,1 838.40
S00200,2024-10-04,Ноутбуки ,P031,online,4,11230.39,44921.56
S00201,2024-03-24,ОДЯГ,P020,retail,3,1119.17,3357.51
S00202,2024-05-04,Смартфони,P037,wholesale,2,22309.97,44619.94
S00203,2024-08-02,АКСЕСУАРИ,P033,retail,1,245.89,245.89
S00204,2024-06-08,Ноутбуки,P051,wholesale,2,24760.86,49521.72
S00205,2024-07-24,Аксесуари,P038,wholesale,1,498.12,498.12 грн
S00206,2025-08-01,аксесуари,P018,retail,2,531.13,(1062.26)
S00207,2025-11-25,Аксесуари,P018,retail,2,1421.26,2842.52
S00208,02.04.2025, ноутбуки ,P021,online,2,19589.70,"39179,40"
S00209,2024-03-08,смартфони,P064,online,4,23512.55,94 050.20
S00210,01.02.2025,ПОБУТОВА ТЕХНІКА,P034,online,5,13102.81,"65514,05"
S00211,2025-05-17,Аксесуари,P033,retail,2,937.31,1874.62
S00212,15.09.2024,Одяг ,P020,retail,4,2253.42,9013.68
S00213,2025-11-02,ОДЯГ,P045,online,1,1689.69,1 689.69
S00214,2025-12-31,Одяг,P035,retail,5,912.51,4562.55 грн
S00215,2025-05-07,смартфони,P027,wholesale,4,8644.72,"34578,88"
S00216,2024-01-16, побутова техніка ,P019,online,1,16553.28,16553.28 грн
S00217,03.08.2024,Ноутбуки,P046,online,5,30259.37,151 296.85
S00218,2025-10-02,Одяг,P030,online,4,819.92,3 279.68
S00219,2025-01-17,одяг,P055,online,4,1493.54,5974.16
S00220,2024-05-19,Одяг,P072,online,2,1457.35,2914.70
S00221,27.07.2025,Смартфони,P017,retail,4,10141.32,40 565.28
S00222,23.05.2025, ноутбуки ,P001,online,5,13908.45,69542.25
S00223,2025-04-29,одяг,P060,retail,1,254.40,254.40
S00224,06.09.2025, побутова техніка ,P039,retail,1,19113.29,"19113,29"
S00225,17.04.2025, одяг ,P025,retail,4,1356.55,5426.20
S00226,05.12.2024,ПОБУТОВА ТЕХНІКА,P029,retail,1,5843.18,"5843,18"
S00227,2024-04-05,Ноутбуки,P006,wholesale,4,11819.64,47278.56
S00228,2024-05-19,НОУТБУКИ,P046,retail,5,34794.39,173971.95
S00229,2024-05-24,одяг,P025,wholesale,1,932.19,932.19
S00230,2024-08-10,Смартфони,P047,retail,2,22452.55,44905.10 грн
S00231,2024-04-04,Аксесуари,P033,retail,4,513.42,2053.68
S00232,23.03.2024,Ноутбуки,P031,retail,1,15703.58,"15703,58"
S00233,2024-12-29,побутова техніка,P004,online,3,7370.82,22112.46
S00234,2025-12-05,НОУТБУКИ,P031,online,2,16390.84,32781.68
S00235,28.09.2025,аксесуари,P008,wholesale,5,1213.44,"6067,20"
S00236,2024-11-24,Аксесуари,P008,online,4,838.64,-3354.56
S00237,10.07.2025, аксесуари ,P058,retail,2,901.31,1802.62 грн
S00238,2024-05-04,Аксесуари,P018,retail,1,1930.76,"1930,76"
S00239,2025-07-26, одяг ,P045,online,3,2478.91,7 436.73
S00240,30.05.2025,НОУТБУКИ,P011,retail,2,27882.49,55764.98
S00241,2024-06-12, ноутбуки ,P011,online,4,14153.65,"56614,60"
S00242,03.02.2024,побутова техніка,P054,retail,5,8057.20,40 286.00
S00243,2025-05-14,Одяг,P005,online,2,668.19,1336.38
S00244,01.08.2024,Ноутбуки,P001,retail,2,30477.24,"60954,48"
S00245,2025-01-13,Побутова техніка,P069,wholesale,3,14968.30,44904.90
S00246,17.08.2025,ОДЯГ,P020,retail,2,1308.47,2616.94
S00247,2024-02-28, одяг ,P060,retail,2,2282.42,4564.84
S00248,2024-09-02,Аксесуари,P033,online,1,162.47,162.47
S00249,2024-01-22,побутова техніка,P039,retail,1,7776.06,7 776.06
S00250,2024-10-09,Аксесуари,P028,retail,2,993.48,1986.96
S00251,2024-04-22,Ноутбуки,P011,online,4,10148.57,40594.28
S00252,2025-04-10,Смартфони,P007,retail,4,12608.89,50435.56 грн
S00253,24.11.2025,Одяг,P055,retail,5,2369.75,11 848.75
S00254,20.03.2025,Смартфони,P047,online,3,15760.17,47280.51
S00255,25.02.2024,Аксесуари ,P038,wholesale,3,1030.95,3092.85 грн
S00256,2024-05-10,Ноутбуки,P051,online,5,22449.43,112247.15
S00257,2025-09-12,ноутбуки,P056,wholesale,5,16472.34,82361.70
S00258,16.04.2024, побутова техніка ,P059,online,1,4428.80,4428.80
S00259,01.07.2025,смартфони,P052,wholesale,4,23160.74,92642.96
S00260,2024-10-09,Одяг ,P062,online,3,694.48,2 083.44
S00261,2024-08-13,одяг,P010,online,2,454.11,"908,22"
S00262,2025-06-22,Смартфони,P047,online,2,17588.29,35 176.58
S00263,21.08.2024,Побутова техніка,P034,retail,4,14075.20,56300.80
S00264,13.09.2024,Аксесуари ,P038,wholesale,4,1924.30,7697.20
S00265,12.11.2025,Аксесуари,P018,retail,3,1175.63,3526.89
S00266,05.09.2025, аксесуари ,P038,online,5,928.01,"4640,05"
S00267,07.01.2025,одяг,P025,wholesale,4,1275.40,"5101,60"
S00268,06.07.2025,Ноутбуки,P011,online,1,14218.56,14218.56
S00269,2025-09-10, побутова техніка ,P069,wholesale,3,5332.85,15998.55 грн
S00270,2024-03-09,ОДЯГ,P045,online,1,2086.15,2086.15
S00271,2025-03-23,Аксесуари,P023,retail,3,1313.92,3941.76
S00272,2024-12-31,одяг,P020,wholesale,1,614.34,614.34
S00273,2025-09-22,Одяг,P015,retail,4,1644.68,6578.72
S00274,24.10.2025,Побутова техніка,P065,wholesale,3,15403.82,46 211.46
S00275,2025-03-04, аксесуари ,P053,online,1,1745.38,1745.38
S00276,17.07.2024,ПОБУТОВА ТЕХНІКА,P019,online,4,17980.69,"71922,76"
S00277,18.05.2025,Ноутбуки,P031,online,4,28945.22,115780.88
S00278,2024-03-27,аксесуари,P058,online,1,960.20,960.20
S00279,2025-01-06,Аксесуари,P048,online,3,1424.78,4274.34 грн
S00280,09.12.2024,ноутбуки,P026,online,3,27652.12,82956.36
S00281,2024-03-14,Ноутбуки,P016,wholesale,2,28632.91,"(57265,82)"
S00282,06.10.2024,Одяг,P020,online,5,985.88,4929.40
S00283,2024-01-01,Побутова техніка ,P014,online,2,3790.96,"7581,92"
S00284,15.12.2025,Смартфони,P052,online,2,7634.16,15268.32 грн
S00285,2024-07-30,ноутбуки,P021,online,2,28007.66,56015.32
S00286,2024-02-05,Ноутбуки,P051,online,4,21532.00,(86128.00)
S00287,18.12.2025,НОУТБУКИ,P016,wholesale,2,8558.26,"17116,52"
S00288,30.03.2024,смартфони,P027,retail,2,8646.82,17293.64 грн
S00289,05.06.2025, побутова техніка ,P034,online,4,17263.12,69052.48
S00290,2024-11-17,Побутова техніка,P019,retail,3,15725.93,47177.79
S00291,2024-10-05,Ноутбуки ,P011,online,3,11376.57,34129.71 грн
S00292,2024-01-25, побутова техніка ,P009,online,3,3604.25,"10812,75"
S00293,2024-09-19,Смартфони,P052,online,2,9861.64,"19723,28"
S00294,2025-01-31,Аксесуари ,P053,wholesale,1,1918.88,1918.88
S00295,14.07.2025,Аксесуари ,P048,online,3,1270.91,"3812,73"
S00296,2024-05-13, аксесуари ,P013,online,4,692.33,2 769.32
S00297,2024-08-05, смартфони ,P032,online,2,12217.19,24434.38
S00298,23.09.2025,ноутбуки,P031,retail,3,33234.37,99703.11 грн
S00299,10.11.2025,одяг,P045,wholesale,5,1758.71,8793.55
S00300,22.12.2024,Аксесуари,P033,online,4,757.62,3030.48
S00301,11.02.2024,НОУТБУКИ,P021,online,3,28155.87,84467.61
S00302,12.03.2025,Аксесуари,P008,retail,3,1988.81,5966.43
S00303,2024-06-03,смартфони,P002,online,3,7789.88,23 369.64
S00304,19.09.2025,Аксесуари,P023,online,2,1433.94,2867.88 грн
S00305,28.02.2025,Побутова техніка ,P039,retail,4,14017.38,56069.52
S00306,09.05.2025,Ноутбуки,P026,retail,2,32294.24,"64588,48"
S00307,2025-11-21,ноутбуки,P021,online,4,22226.70,88906.80
S00308,2024-01-11,Побутова техніка,P034,online,4,10488.65,41954.60
S00309,16.01.2024,Одяг ,P015,online,2,1303.83,2 607.66
S00310,2025-06-26,Аксесуари,P028,online,3,362.41,1087.23 грн
S00311,18.07.2025,Аксесуари,P013,online,3,972.18,2916.54
S00312,07.11.2024,Аксесуари,P028,retail,1,148.81,148.81
S00313,16.07.2024,Аксесуари ,P075,online,5,1899.92,"9499,60"
S00314,27.05.2024,Аксесуари,P018,online,2,478.57,957.14
S00315,2024-10-01, побутова техніка ,P059,retail,4,6298.85,25195.40
S00316,07.07.2024,Аксесуари,P058,retail,5,1725.61,"8628,05"
S00317,2025-12-12,Смартфони,P032,online,2,5585.11,-11170.22
S00318,10.05.2025,НОУТБУКИ,P001,wholesale,3,22415.92,67247.76
S00319,29.10.2025,ПОБУТОВА ТЕХНІКА,P072,online,3,2376.39,7 129.17
S00320,2025-07-09,Побутова техніка,P039,wholesale,2,7884.28,15 768.56
S00321,2024-02-28,Побутова техніка,P074,online,4,12707.63,50830.52
S00322,15.07.2024,Побутова техніка,P029,retail,1,14395.93,"14395,93"
S00323,03.01.2024,Побутова техніка,P024,retail,1,9475.16,9475.16
S00324,2024-07-27,ОДЯГ,P010,retail,4,378.99,1515.96
S00325,23.07.2024, аксесуари ,P053,retail,3,1754.69,5264.07 грн
S00326,2025-01-25,Смартфони ,P027,wholesale,3,3945.43,"11836,29"
S00327,28.03.2024,Ноутбуки,P011,online,5,25005.38,125026.90
S00328,2024-01-26,смартфони,P037,online,3,14249.88,42749.64
S00329,2024-08-05,Аксесуари,P048,online,4,1828.73,7314.92
S00330,31.12.2024,Аксесуари,P033,wholesale,3,811.00,2433.00
S00331,24.08.2024, побутова техніка ,P044,retail,1,2704.22,2704.22 грн
S00332,23.07.2025,ноутбуки,P011,wholesale,3,34915.02,104 745.06
S00333,15.02.2025,ноутбуки,P046,retail,4,14024.35,56097.40
S00334,2024-01-27,Ноутбуки,P056,online,1,17082.03,"17082,03"
S00335,07.12.2024,Побутова техніка,P049,wholesale,4,15369.25,"61477,00"
S00336,2025-03-20,Смартфони ,P042,online,4,23280.18,93120.72
S00337,02.11.2025,СМАРТФОНИ,P042,online,2,12294.96,24589.92 грн
S00338,13.06.2024, одяг ,P055,online,1,2427.59,2427.59
S00339,02.01.2024,Побутова техніка ,P029,online,5,17654.79,"(88273,95)"
S00340,10.05.2024,Аксесуари ,P013,retail,4,186.82,747.28
S00341,2025-05-11,Одяг,P040,wholesale,2,444.54,889.08 грн
S00342,2024-09-08,Одяг,P025,retail,3,276.42,829.26
S00343,07.11.2024, ноутбуки ,P041,wholesale,1,25154.89,25154.89
S00344,2024-05-03,СМАРТФОНИ,P037,retail,2,9953.32,19906.64
S00345,2025-06-17,Смартфони,P047,wholesale,2,19855.39,39710.78
S00346,2025-05-29,Аксесуари ,P033,retail,2,1042.48,2 084.96
S00347,2025-07-17,Побутова техніка,P029,wholesale,5,11189.41,55947.05
S00348,14.01.2024,смартфони,P072,retail,1,3196.98,3196.98
S00349,12.04.2025,аксесуари,P023,retail,2,684.66,1369.32
S00350,14.01.2024,одяг,P025,retail,2,1901.88,3803.76
S00351,24.07.2024,побутова техніка,P019,retail,4,16769.63,67 078.52
S00352,08.06.2024,Побутова техніка,P009,online,3,19916.71,59750.13
S00353,2025-08-25,НОУТБУКИ,P026,retail,5,12596.21,62981.05
S00354,06.11.2024,ноутбуки,P031,online,1,9811.62,"9811,62"
S00355,2024-09-06,Ноутбуки,P036,online,5,31231.62,156 158.10
S00356,2025-08-23,Смартфони,P012,online,3,8988.92,"26966,76"
S00357,29.02.2024,ноутбуки,P011,online,2,26864.21,53728.42
S00358,2025-01-25,СМАРТФОНИ,P047,retail,1,15141.48,"15141,48"
S00359,2025-04-01,АКСЕСУАРИ,P013,retail,3,1820.65,5461.95 грн
S00360,2024-09-06, аксесуари ,P053,online,2,683.29,"(1366,58)"
S00361,21.05.2024, побутова техніка ,P054,wholesale,4,7551.64,30 206.56
S00362,2024-03-03,Аксесуари,P038,wholesale,4,668.58,"2674,32"
S00363,11.01.2025,Побутова техніка ,P039,online,3,19704.97,59114.91
S00364,2024-05-12,Аксесуари ,P003,wholesale,1,648.88,"648,88"
S00365,16.03.2024,Аксесуари,P003,retail,4,103.99,415.96 грн
S00366,2025-08-22,одяг,P030,retail,5,454.93,2274.65
S00367,2025-04-18,ОДЯГ,P030,retail,2,2966.90,"5933,80"
S00368,27.03.2025,АКСЕСУАРИ,P023,online,5,393.64,1 968.20
S00369,2024-11-07,побутова техніка,P039,online,4,9622.58,38490.32
S00370,2025-01-19,Аксесуари ,P008,online,3,1571.55,"4714,65"
S00371,24.02.2024,Одяг,P015,online,5,1372.79,6863.95
S00372,2025-01-10,ОДЯГ,P015,online,4,2052.12,"8208,48"
S00373,2025-10-16,одяг,P040,wholesale,1,2978.75,2978.75
S00374,30.03.2025,аксесуари,P003,online,3,1066.01,-3198.03 грн
S00375,25.12.2025,Одяг,P060,retail,2,2913.65,5827.30
S00376,12.12.2025,Побутова техніка,P054,retail,5,16110.80,80554.00
