edrpou,name,short_name,opf,stan,registration,terminated_info
01982531,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ІЛЛІНЕЦЬКА МІСЬКА ЛІКАРНЯ"" ІЛЛІНЕЦЬКОЇ МІСЬКОЇ РАДИ","КНП ""ІЛЛІНЕЦЬКА МІСЬКА ЛІКАРНЯ""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,15.06.2001; 30.07.2018; 11521450000000909,
01982726,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЯМПІЛЬСЬКА ТЕРИТОРІАЛЬНА ЛІКАРНЯ"" ЯМПІЛЬСЬКОЇ МІСЬКОЇ РАДИ","КНП ""ЯМПІЛЬСЬКА ТЕРИТОРІАЛЬНА ЛІКАРНЯ""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,14.06.2004; 28.12.2018; 11731450000000630,
01982896,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ГОРОХІВСЬКА БАГАТОПРОФІЛЬНА ЛІКАРНЯ ГОРОХІВСЬКОЇ МІСЬКОЇ РАДИ""","КП ""ГОРОХІВСЬКА БАГАТОПРОФІЛЬНА ЛІКАРНЯ""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,04.04.2003; 04.12.2018; 11811450000001120,
01987273,"КОМУНАЛЬНИЙ ЗАКЛАД ""НОВОМОСКОВСЬКА ЦЕНТРАЛЬНА МІСЬКА ЛІКАРНЯ ""","КЗ ""НОВОМОСКОВСЬКА ЦМЛ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",припинено,04.12.2002; 16.09.2005; 12291200000000273,07.10.2019; 12291120024000273; Державна реєстрація припинення юридичної особи в результаті її реорганізації
01991613,РОМАНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ,РОМАНІВСЬКА ЦРЛ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",припинено,24.03.2003; 16.10.2005; 12991200000000094,05.09.2019; 12991120025000094; Державна реєстрація припинення юридичної особи в результаті її реорганізації
01993256,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ІВАНО-ФРАНКІВСЬКА ОБЛАСНА ДИТЯЧА КЛІНІЧНА ЛІКАРНЯ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСНОЇ РАДИ""","КНП ""ІФОДКЛ ІФ ОР""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,11.08.1993; 07.11.2019; 11191450000016950,
01993598,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ПЕРЕГІНСЬКА ЛІКАРНЯ"" ПЕРЕГІНСЬКОЇ СЕЛИЩНОЇ РАДИ","КНП ""ПЕРЕГІНСЬКА ЛІКАРНЯ"" ПСР",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,12.07.1999; 26.11.2019; 11141450000001023,
01993776,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №18"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","КНП ""КМКЛ №18""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,11.12.1998; 03.02.2020; 10741450000089850,
01994669,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЛІКАРНЯ ІНТЕНСИВНОГО ЛІКУВАННЯ БОЯРСЬКОЇ МІСЬКОЇ РАДИ""","КНП ""ЛІЛ БОЯРСЬКОЇ МІСЬКОЇ РАДИ""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,16.07.1996; 09.01.2019; 13391450000017276,
01999218,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ГАДЯЦЬКА МІСЬКА ЦЕНТРАЛЬНА ЛІКАРНЯ"" ГАДЯЦЬКОЇ МІСЬКОЇ РАДИ","КНП ""ГАДЯЦЬКА МЦЛ""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,03.06.1998; 31.10.2018; 15601450000001027,
02000105,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЗДОЛБУНІВСЬКА  ЦЕНТРАЛЬНА МІСЬКА ЛІКАРНЯ"" ЗДОЛБУНІВСЬКОЇ МІСЬКОЇ РАДИ РІВНЕНСЬКОЇ ОБЛАСТІ","КНП ""ЗДОЛБУНІВСЬКА ЦМЛ""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,20.03.1998; 29.12.2018; 15961450000001346,
02000145,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ДЯДЬКОВИЦЬКА ЛІКАРНЯ З ЦЕНТРОМ ПАЛІАТИВНОЇ ДОПОМОГИ"" ДЯДЬКОВИЦЬКОЇ СІЛЬСЬКОЇ РАДИ РІВНЕНСЬКОГО РАЙОНУ РІВНЕНСЬКОЇ ОБЛАСТІ","КНП ""ДЯДЬКОВИЦЬКА ЛЦПД"" ДСР",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,25.06.1999; 26.03.2019; 16021450000003663,
02002701,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""БЕРЕСТИНСЬКА МІСЬКА ЛІКАРНЯ""","КНП ""Берестинська міська лікарня""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,30.09.1997; 08.01.2019; 14631450000000689,
02002807,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""БОРІВСЬКА ЦЕНТРАЛЬНА ЛІКАРНЯ БОРІВСЬКОЇ СЕЛИЩНОЇ РАДИ""","КНП ""БЦЛ БСР""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,29.12.1997; 22.10.2019; 14511450000001727,
02007265,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ТОВАРИСТВО ""ДНІПРОВСЬКИЙ ОБЛАСНИЙ КЛІНІЧНИЙ ОНКОЛОГІЧНИЙ ДИСПАНСЕР"" ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ РАДИ""","КНТ ""ДОКОД"" ДОР""",КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ТОВАРИСТВО,зареєстровано,22.09.2000; 17.01.2020; 12241450000093290,
02007549,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КРОЛЕВЕЦЬКА ЛІКАРНЯ"" КРОЛЕВЕЦЬКОЇ МІСЬКОЇ РАДИ","КП ""КРОЛЕВЕЦЬКА ЛІКАРНЯ"" КРОЛЕВЕЦЬКОЇ МІСЬКОЇ РАДИ",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,06.02.1998; 27.12.2018; 16151450000000761,
02010422,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ОСТРОЗЬКА ОБЛАСНА ПСИХІАТРИЧНА ЛІКАРНЯ"" РІВНЕНСЬКОЇ ОБЛАСНОЇ РАДИ","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ОСТРОЗЬКА ОПЛ"" РОР",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,24.03.1998; 02.01.2019; 16071450000001006,
02010801,ОДЕСЬКИЙ НАЦІОНАЛЬНИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ,ОНМедУ,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,16.10.2006; 16.10.2006; 15561200000022681,
02011031,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""","КНП ""ВОКЛ ІМ. М.І. ПИРОГОВА ВОР""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,30.03.2000; 08.10.2019; 11741450000017437,
02070855,ІВАНО-ФРАНКІВСЬКИЙ НАЦІОНАЛЬНИЙ ТЕХНІЧНИЙ УНІВЕРСИТЕТ НАФТИ І ГАЗУ,ІВАНО-ФРАНКІВСЬКИЙ НАЦІОНАЛЬНИЙ ТЕХНІЧНИЙ УНІВЕРСИТЕТ НАФТИ І ГАЗУ,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,31.01.2002; 02.03.2005; 11191200000001026,
02070944,КИЇВСЬКИЙ НАЦІОНАЛЬНИЙ УНІВЕРСИТЕТ ІМЕНІ ТАРАСА ШЕВЧЕНКА,,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,21.01.1994; 06.12.2005; 10741200000013049,
02071139,НАЦІОНАЛЬНИЙ ЮРИДИЧНИЙ УНІВЕРСИТЕТ  ІМЕНІ ЯРОСЛАВА МУДРОГО,НЮУ,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.11.2001; 14.12.2004; 14801200000004734,
02124781,УПРАВЛІННЯ ОСВІТИ ВИКОНКОМУ САКСАГАНСЬКОЇ РАЙОННОЇ У МІСТІ РАДИ,,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,10.09.1993; 26.12.2007; 12271200000009894,
02142282,ВІДДІЛ ОСВІТИ ВИКОНКОМУ ПОКРОВСЬКОЇ РАЙОННОЇ В МІСТІ РАДИ,ВІДДІЛ ОСВІТИ,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,02.03.2001; 31.10.2005; 12271200000004126,
02142307,ВІДДІЛ ОСВІТИ ВИКОНАВЧОГО КОМІТЕТУ ТЕРНІВСЬКОЇ РАЙОННОЇ У МІСТІ РАДИ,ВІДДІЛ ОСВІТИ ВИКОНКОМУ ТЕРНІВСЬКОЇ РАЙОННОЇ У МІСТІ РАДИ,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,22.12.1998; 21.06.2005; 12271200000002963,
02145725,ДЕПАРТАМЕНТ ОСВІТИ ПОЛТАВСЬКОЇ МІСЬКОЇ РАДИ,,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,15.08.2006; 16.08.2006; 15881200000005255,
02544974,ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ №36 СМТ.НОВГОРОДКА,ПТУ №36 СМТ НОВГОРОДКА,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,21.07.1955; 09.03.2006; 14321200000000217,
02545365,ЗОЛОЧІВСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ,ЗПЛ,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,11.04.2003; 05.10.2005; 13991200000000384,
02548386,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ПОЛОНСЬКИЙ АГРОПРОМИСЛОВИЙ ЦЕНТР ПРОФЕСІЙНОЇ ОСВІТИ""","ДНЗ ""ПОЛОНСЬКИЙ АЦПО""","ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,16.07.2003; 04.12.2008; 16631200000000431,
02548587,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""УМАНСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ""","ДНЗ ""УМАНСЬКИЙ ПЛ""","ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,24.09.2003; 07.11.2005; 10251200000000448,
02548759,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЗОЛОТОНІСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ""",ЗПЛ,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,18.07.2003; 10.02.2006; 10221200000000227,
03188240,"КОМУНАЛЬНИЙ ЗАКЛАД ""СТАРОДОБРОВІЛЬСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ"" ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ РАДИ""","КЗ ""СТАРОДОБРОВІЛЬСЬКИЙ ПНІ"" ДОР""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,17.07.1997; 22.06.2005; 12201200000000118,
03188470,"КОМУНАЛЬНА УСТАНОВА ""ДОВБИСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ"" ЖИТОМИРСЬКОЇ ОБЛАСНОЇ РАДИ","КУ ""ДОВБИСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ"" ЖОР","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,20.01.1994; 20.02.2006; 12821200000000136,
03189015,"КОМУНАЛЬНИЙ ЗАКЛАД ЛЬВІВСЬКОЇ ОБЛАСНОЇ РАДИ ""БУКІВСЬКИЙ ДИТЯЧИЙ БУДИНОК-ІНТЕРНАТ""","КЗ ЛОР ""БУКІВСЬКИЙ ДИТЯЧИЙ БУДИНОК-ІНТЕРНАТ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,28.02.2002; 23.05.2008; 14091200000000536,
03189179,ХОРОЛЬСЬКИЙ БУДИНОК-ІНТЕРНАТ ДЛЯ ГРОМАДЯН ПОХИЛОГО ВІКУ ТА ОСІБ З ІНВАЛІДНІСТЮ,ХОРОЛЬСЬКИЙ БУДИНОК-ІНТЕРНАТ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,20.03.2001; 09.11.2006; 15801200000000337,
03189222,ЗІНЬКІВСЬКИЙ ДИТЯЧИЙ БУДИНОК - ІНТЕРНАТ ІМ. О.В. СИНЯГОВСЬКОГО,ЗДБІ ІМ. О.В. СИНЯГОВСЬКОГО,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,17.01.1995; 13.10.2006; 15641200000000271,
03189363,КОМУНАЛЬНА УСТАНОВА СУМСЬКОЇ ОБЛАСНОЇ РАДИ ЛЕБЕДИНСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ,КУ СОР ЛЕБЕДИНСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,17.09.1997; 23.11.2004; 16291200000000020,
03189498,СКАЛА-ПОДІЛЬСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ БУДИНОК-ІНТЕРНАТ,,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,17.11.1997; 21.10.2004; 16361200000000071,
03189506,БЕРЕЖАНСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ БУДИНОК-ІНТЕРНАТ,,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,17.10.1994; 15.12.2004; 16471200000000024,
03190047,"КОМУНАЛЬНИЙ ЗАКЛАД ""ПОПАСНЯНСЬКИЙ ОБЛАСНИЙ ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ""",,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,28.05.2003; 20.07.2006; 13721200000000393,
03190484,ВИНОГРАДІВСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ,ВИНОГРАДІВСЬКИЙ ПНІ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,12.02.2004; 10.06.2005; 16711200000000143,
03190596,ГОРОЖАНСЬКИЙ ПСИХОНЕВРОЛОГІЧНИЙ ІНТЕРНАТ,ГОРОЖАНСЬКИЙ ПНІ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,20.03.2002; 07.11.2006; 15031200000000547,
04055104,НОВОМИРГОРОДСЬКА МІСЬКА РАДА,,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,31.01.1995; 23.05.2006; 14341200000000257,
04057830,ДУБЕНСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,ДУБЕНСЬКА РДА,ОРГАН ДЕРЖАВНОЇ ВЛАДИ,зареєстровано,09.06.1992; 15.11.2006; 16051200000000388,
04062127,КІЦМАНСЬКА МІСЬКА РАДА ЧЕРНІВЕЦЬКОГО РАЙОНУ ЧЕРНІВЕЦЬКОЇ ОБЛАСТІ,КІЦМАНСЬКА МІСЬКА РАДА,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,21.05.1997; 15.04.2008; 10321200000000497,
04332851,СЕРЕХОВИЧІВСЬКА СІЛЬСЬКА РАДА,СЕРЕХОВИЧІВСЬКА СІЛЬСЬКА РАДА,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,16.07.1994; 03.04.2008; 11931200000000253,
04334755,КОПАЧІВСЬКА СІЛЬСЬКА РАДА,,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,21.04.1998; 01.12.2005; 11921200000000199,
04343470,ОЛЕВСЬКА МІСЬКА РАДА,,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,21.05.1997; 14.11.2006; 12961200000000239,
04349923,СЕРЕДНЯНСЬКА СЕЛИЩНА РАДА УЖГОРОДСЬКОГО РАЙОНУ ЗАКАРПАТСЬКОЇ ОБЛАСТІ,,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,21.05.1997; 22.03.2007; 13201200000001075,
04350910,МІЖГІРСЬКА СЕЛИЩНА РАДА,МІЖГІРСЬКА С/РАДА,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,23.11.1977; 09.11.2005; 13141200000000198,
04412395,ДМИТРІВСЬКА СЕЛИЩНА РАДА,,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,21.05.1997; 06.04.2007; 10401200000000532,
04417174,ГОРІШНЬОШЕРОВЕЦЬКА СІЛЬСЬКА РАДА ЧЕРНІВЕЦЬКОГО РАЙОНУ ЧЕРНІВЕЦЬКОЇ ОБЛАСТІ,ГОРІШНЬОШЕРОВЕЦЬКА СІЛЬСЬКА РАДА,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,28.05.1997; 11.03.2006; 10301200000000250,
04418535,ВЕРЕНЧАНСЬКА СІЛЬСЬКА РАДА ЧЕРНІВЕЦЬКОГО РАЙОНУ ЧЕРНІВЕЦЬКОЇ ОБЛАСТІ,,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,21.05.1997; 07.08.2009; 10301200000000528,
04545340,"КОМУНАЛЬНИЙ ЗАКЛАД ЛЬВІВСЬКОЇ ОБЛАСНОЇ РАДИ  ""СОКАЛЬСЬКИЙ АКАДЕМІЧНИЙ ЛІЦЕЙ імені Т.ШЕВЧЕНКА""","КЗ ЛОР ""Сокальський академічний ліцей""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,16.02.2001; 30.05.2005; 14081200000000346,
04590665,РОЗБИШІВСЬКИЙ НАВЧАЛЬНО-РЕАБІЛІТАЦІЙНИЙ ЦЕНТР З ПОГЛИБЛЕНИМ ПРОФЕСІЙНО-ТРУДОВИМ НАВЧАННЯМ ПОЛТАВСЬКОЇ ОБЛАСНОЇ РАДИ,НАВЧАЛЬНО-РЕАБІЛІТАЦІЙНИЙ ЦЕНТР,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,11.12.2003; 20.03.2020; 15601450000001084,
05266524,"КОМУНАЛЬНИЙ ЗАКЛАД ""СОСНИЦЬКИЙ НАВЧАЛЬНО-РЕАБІЛІТАЦІЙНИЙ ЦЕНТР"" ЧЕРНІГІВСЬКОЇ ОБЛАСНОЇ РАДИ","КЗ ""СОСНИЦЬКИЙ НРЦ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,11.12.2002; 12.08.2016; 10571450000000409,
05395948,ЖИТОМИРСЬКА СПЕЦІАЛЬНА ШКОЛА ЖИТОМИРСЬКОЇ ОБЛАСНОЇ РАДИ,ЖИТОМИРСЬКА СПЕЦШКОЛА,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,25.06.2003; 30.08.2004; 13051200000000198,
05396876,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ХЕРСОНСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ІМЕНІ О.С.ЛУЧАНСЬКОГО"" ХЕРСОНСЬКОЇ МІСЬКОЇ РАДИ","КНП ""ХЕРСОНСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ІМ. О.С.ЛУЧАНСЬКОГО"" ХМР",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,14.12.2001; 26.11.2018; 14991450000022126,
05409745,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МИКОЛАЇВМОЛПРОМ""","ПРАТ ""МИКОЛАЇВМОЛПРОМ""",ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО,припинено,30.06.2000; 14.12.2004; 15221200000001266,10.09.2018; 15221120027001266; Державна реєстрація припинення юридичної особи в результаті її реорганізації
05498849,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ОБЛАСНА ІНФЕКЦІЙНА КЛІНІЧНА ЛІКАРНЯ"" ЗАПОРІЗЬКОЇ ОБЛАСНОЇ РАДИ","КНП ""ОІКЛ"" ЗОР",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,02.02.2004; 28.02.2020; 11031450000048876,
05498909,"КОМУНАЛЬНА УСТАНОВА ""ОБЛАСНА КЛІНІЧНА ПСИХІАТРИЧНА ЛІКАРНЯ"" ЗАПОРІЗЬКОЇ ОБЛАСНОЇ РАДИ","КУ ""ОБЛАСНА КЛІНІЧНА  ПСИХЛІКАРНЯ"" ЗОР","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",припинено,12.12.2003; 18.01.2006; 11031200000011481,28.02.2020; 11031120013011481; Державна реєстрація припинення юридичної особи в результаті її реорганізації
07567158,ВІЙСЬКОВА ЧАСТИНА А2595,,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,26.08.1996; 29.06.2011; 13931200000000806,
08562594,"ДЕРЖАВНА  УСТАНОВА  ""ВІННИЦЬКА ВИПРАВНА КОЛОНІЯ (№86)""",,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.11.1999; 03.07.2008; 11741200000006928,
