order_id,order_date,city,status,note
D0113,2026-04-27,Poltava,shipped,delivered on time
D0114,2026-05-03,Kharkiv,shipped,delivered on time
D0115,2026-04-04,Dnipro,shipped,delivered on time
D0116,2026-07-31,Dnipro,pending,awaiting warehouse
D0117,2026-06-27,Zaporizhzhia,shipped,delivered on time
D0118,2026-04-30,Odesa,shipped,delivered on time
D0119,2026-06-09,Kharkiv,shipped,delivered on time
D0120,2026-04-21,Kharkiv,shipped,packaging damaged
D0121,2026-04-18,Vinnytsia,pending,awaiting warehouse
D0122,2026-05-23,Kyiv,shipped,delivered on time
D0123,2026-06-21,Dnipro,shipped,packaging damaged
D0124,2026-07-30,Lviv,shipped,delivered on time
D0125,2026-07-12,Poltava,pending,awaiting warehouse
D0126,2026-05-26,Dnipro,cancelled,customer cancelled
D0127,2026-04-30,Lviv,cancelled,out of stock
D0128,2026-05-18,Poltava,shipped,delivered on time
D0129,2026-05-15,Odesa,shipped,delivered on time
D0130,2026-04-15,Dnipro,shipped,delivered on time
D0131,2026-07-02,Odesa,pending,awaiting warehouse
D0132,2026-07-03,Zaporizhzhia,shipped,packaging damaged
D0133,2026-05-22,Kyiv,shipped,delivered on time
D0134,2026-04-03,Dnipro,shipped,packaging damaged
D0135,2026-07-30,Kyiv,pending,awaiting warehouse
D0136,2026-05-24,Lviv,pending,awaiting warehouse
D0137,2026-06-29,Lviv,shipped,delivered on time
D0138,2026-07-26,Odesa,shipped,delivered on time
D0139,2026-04-28,Zaporizhzhia,pending,payment pending
D0140,2026-07-31,Odesa,shipped,delivered on time
D0141,2026-04-06,Odesa,shipped,delivered on time
D0142,2026-06-16,Dnipro,pending,payment pending
D0143,2026-04-19,Dnipro,shipped,delivered on time
D0144,2026-04-07,Odesa,cancelled,customer cancelled
D0145,2026-07-20,Vinnytsia,cancelled,customer cancelled
D0146,2026-04-28,Zaporizhzhia,pending,payment pending
D0147,2026-07-23,Kharkiv,pending,awaiting warehouse
D0148,2026-07-14,Kharkiv,shipped,delivered on time
D0149,2026-05-14,Vinnytsia,shipped,delivered on time
D0150,2026-06-14,Vinnytsia,shipped,delivered on time
D0151,2026-06-15,Lviv,pending,awaiting warehouse
D0152,2026-06-23,Odesa,shipped,delivered on time
D0153,2026-06-12,Lviv,shipped,delivered on time
D0154,2026-05-09,Dnipro,shipped,delivered on time
D0155,2026-04-26,Lviv,pending,payment pending
D0156,2026-07-06,Poltava,pending,awaiting warehouse
D0157,2026-07-11,Odesa,shipped,delivered on time
D0158,2026-07-04,Odesa,shipped,delivered on time
D0159,2026-04-17,Zaporizhzhia,pending,awaiting warehouse
D0160,2026-06-14,Lviv,cancelled,out of stock
D0161,2026-07-06,Kharkiv,pending,awaiting warehouse
D0162,2026-06-17,Odesa,shipped,delivered on time
D0163,2026-04-19,Lviv,pending,payment pending
D0164,2026-05-30,Vinnytsia,shipped,delivered on time
D0165,2026-04-25,Dnipro,shipped,delivered on time
D0166,2026-07-01,Odesa,cancelled,customer cancelled
D0167,2026-07-28,Lviv,cancelled,out of stock
D0168,2026-04-10,Kharkiv,pending,payment pending
D0169,2026-05-04,Zaporizhzhia,shipped,packaging damaged
D0170,2026-04-18,Vinnytsia,shipped,packaging damaged
D0171,2026-04-12,Kyiv,cancelled,customer cancelled
D0172,2026-06-23,Poltava,shipped,delivered on time
D0173,2026-04-16,Kyiv,shipped,delivered on time
D0174,2026-06-14,Lviv,shipped,delivered on time
D0175,2026-06-06,Zaporizhzhia,shipped,delivered on time
D0176,2026-05-18,Lviv,pending,awaiting warehouse
D0177,2026-07-29,Poltava,pending,payment pending
D0178,2026-06-25,Lviv,pending,awaiting warehouse
D0179,2026-07-21,Kyiv,pending,awaiting warehouse
D0180,2026-06-05,Kyiv,shipped,delivered on time
D0181,2026-07-27,Kharkiv,shipped,delivered on time
D0182,2026-07-30,Dnipro,shipped,delivered on time
D0183,2026-04-25,Dnipro,pending,payment pending
D0184,2026-05-24,Odesa,shipped,delivered on time
D0185,2026-06-26,Kyiv,shipped,delivered on time
D0186,2026-05-24,Poltava,shipped,packaging damaged
D0187,2026-05-03,Zaporizhzhia,shipped,delivered on time
D0188,2026-07-10,Zaporizhzhia,shipped,delivered on time
D0189,2026-07-15,Kharkiv,pending,awaiting warehouse
D0190,2026-04-09,Dnipro,cancelled,customer cancelled
D0191,2026-05-29,Kharkiv,shipped,delivered on time
D0192,2026-04-03,Odesa,pending,awaiting warehouse
D0193,2026-05-29,Lviv,shipped,delivered on time
D0194,2026-04-29,Poltava,cancelled,customer cancelled
D0195,2026-07-11,Dnipro,shipped,delivered on time
D0196,2026-07-24,Kyiv,pending,awaiting warehouse
D0197,2026-06-17,Odesa,shipped,delivered on time
D0198,2026-07-29,Poltava,shipped,delivered on time
D0199,2026-05-22,Dnipro,cancelled,customer cancelled
D0200,2026-07-15,Lviv,shipped,delivered on time
D0201,2026-06-25,Kyiv,shipped,delivered on time
D0202,2026-07-31,Dnipro,shipped,delivered on time
D0203,2026-05-06,Poltava,pending,awaiting warehouse
D0204,2026-07-04,Poltava,cancelled,customer cancelled
D0205,2026-07-17,Lviv,cancelled,customer cancelled
D0206,2026-06-11,Dnipro,shipped,delivered on time
D0207,2026-06-19,Lviv,pending,awaiting warehouse
D0208,2026-07-04,Kharkiv,cancelled,out of stock
D0209,2026-04-30,Odesa,pending,awaiting warehouse
D0210,2026-05-06,Kyiv,shipped,delivered on time
D0211,2026-06-23,Dnipro,shipped,delivered on time
D0212,2026-05-13,Poltava,shipped,delivered on time
D0213,2026-06-15,Poltava,shipped,delivered on time
D0214,2026-06-16,Dnipro,shipped,delivered on time
D0215,2026-06-11,Kharkiv,pending,awaiting warehouse
D0216,2026-05-08,Kyiv,pending,awaiting warehouse
D0217,2026-06-16,Lviv,pending,payment pending
D0218,2026-04-23,Kyiv,shipped,delivered on time
D0219,2026-07-22,Odesa,pending,awaiting warehouse
D0220,2026-06-18,Lviv,cancelled,out of stock
D0221,2026-04-24,Zaporizhzhia,cancelled,customer cancelled
D0222,2026-04-07,Dnipro,pending,awaiting warehouse
D0223,2026-06-13,Poltava,shipped,packaging damaged
D0224,2026-07-24,Zaporizhzhia,pending,awaiting warehouse
D0225,2026-04-22,Kharkiv,pending,awaiting warehouse
D0226,2026-07-03,Odesa,pending,awaiting warehouse
D0227,2026-04-22,Poltava,shipped,delivered on time
D0228,2026-05-30,Odesa,shipped,delivered on time
D0229,2026-07-30,Zaporizhzhia,shipped,delivered on time
D0230,2026-04-13,Dnipro,shipped,delivered on time
D0231,2026-07-10,Kyiv,pending,payment pending
D0232,2026-06-25,Poltava,cancelled,customer cancelled
D0233,2026-04-20,Zaporizhzhia,shipped,packaging damaged
D0234,2026-07-17,Odesa,pending,awaiting warehouse
D0235,2026-04-19,Dnipro,shipped,delivered on time
D0236,2026-04-19,Vinnytsia,cancelled,customer cancelled
D0237,2026-06-07,Lviv,pending,awaiting warehouse
D0238,2026-06-19,Kyiv,shipped,delivered on time
D0239,2026-05-07,Kyiv,cancelled,customer cancelled
D0240,2026-08-01,Dnipro,shipped,packaging damaged
D0241,2026-04-11,Vinnytsia,shipped,delivered on time
D0242,2026-07-12,Lviv,pending,payment pending
D0243,2026-06-27,Vinnytsia,shipped,delivered on time
D0244,2026-04-30,Kyiv,shipped,delivered on time
D0245,2026-04-03,Odesa,pending,payment pending
D0246,2026-07-29,Vinnytsia,shipped,packaging damaged
D0247,2026-05-23,Kyiv,shipped,packaging damaged
D0248,2026-06-26,Poltava,cancelled,customer cancelled
D0249,2026-06-11,Zaporizhzhia,pending,awaiting warehouse
D0250,2026-04-04,Odesa,pending,payment pending
D0251,2026-05-26,Lviv,cancelled,customer cancelled
D0252,2026-06-21,Odesa,pending,payment pending
D0253,2026-07-21,Lviv,shipped,delivered on time
D0254,2026-06-02,Lviv,shipped,delivered on time
D0255,2026-07-22,Dnipro,shipped,delivered on time
D0256,2026-04-15,Lviv,shipped,delivered on time
D0257,2026-04-20,Kharkiv,shipped,delivered on time
D0258,2026-05-20,Odesa,shipped,delivered on time
D0259,2026-07-04,Lviv,pending,payment pending
D0260,2026-05-20,Vinnytsia,shipped,delivered on time
D0261,2026-07-10,Dnipro,shipped,delivered on time
D0262,2026-04-11,Vinnytsia,pending,awaiting warehouse
D0263,2026-05-24,Odesa,shipped,delivered on time
D0264,2026-04-15,Zaporizhzhia,shipped,delivered on time
D0265,2026-05-15,Kyiv,shipped,delivered on time
D0266,2026-05-23,Kyiv,shipped,delivered on time
D0267,2026-06-25,Dnipro,shipped,delivered on time
D0268,2026-04-03,Vinnytsia,pending,awaiting warehouse
D0269,2026-06-04,Zaporizhzhia,shipped,packaging damaged
D0270,2026-04-29,Vinnytsia,cancelled,customer cancelled
D0271,2026-05-24,Poltava,shipped,delivered on time
D0272,2026-07-02,Odesa,shipped,delivered on time
D0273,2026-05-30,Odesa,shipped,packaging damaged
D0274,2026-07-18,Dnipro,shipped,delivered on time
D0275,2026-04-25,Vinnytsia,shipped,delivered on time
D0276,2026-05-09,Kyiv,pending,awaiting warehouse
D0277,2026-04-27,Lviv,shipped,delivered on time
D0278,2026-06-26,Kharkiv,shipped,delivered on time
D0279,2026-05-18,Dnipro,pending,awaiting warehouse
D0280,2026-07-31,Lviv,shipped,delivered on time
D0281,2026-04-03,Dnipro,shipped,delivered on time
D0282,2026-05-12,Lviv,shipped,delivered on time
D0283,2026-06-07,Zaporizhzhia,cancelled,customer cancelled
D0284,2026-06-17,Zaporizhzhia,cancelled,out of stock
D0285,2026-06-04,Kyiv,shipped,delivered on time
D0286,2026-08-01,Odesa,cancelled,out of stock
D0287,2026-05-20,Vinnytsia,cancelled,customer cancelled
D0288,2026-07-24,Dnipro,shipped,delivered on time
D0289,2026-04-06,Lviv,shipped,delivered on time
D0290,2026-05-24,Zaporizhzhia,shipped,delivered on time
D0291,2026-05-21,Kharkiv,cancelled,customer cancelled
D0292,2026-06-23,Odesa,shipped,delivered on time
D0293,2026-06-23,Zaporizhzhia,shipped,delivered on time
D0294,2026-04-23,Poltava,cancelled,customer cancelled
D0295,2026-07-18,Kharkiv,pending,awaiting warehouse
D0296,2026-04-20,Poltava,shipped,delivered on time
D0297,2026-06-02,Zaporizhzhia,shipped,delivered on time
D0298,2026-04-28,Vinnytsia,cancelled,out of stock
D0299,2026-05-24,Kyiv,shipped,delivered on time
D0300,2026-04-15,Odesa,shipped,delivered on time
D0301,2026-05-17,Vinnytsia,shipped,delivered on time
D0302,2026-05-25,Vinnytsia,cancelled,customer cancelled
D0303,2026-05-05,Dnipro,shipped,delivered on time
D0304,2026-05-02,Zaporizhzhia,cancelled,out of stock
D0305,2026-06-12,Vinnytsia,cancelled,customer cancelled
D0306,2026-07-26,Kyiv,shipped,delivered on time
D0307,2026-04-11,Vinnytsia,pending,payment pending
D0308,2026-06-02,Dnipro,shipped,delivered on time
D0309,2026-06-09,Odesa,shipped,delivered on time
D0310,2026-06-03,Dnipro,shipped,delivered on time
D0311,2026-05-30,Odesa,shipped,delivered on time
D0312,2026-04-22,Lviv,shipped,delivered on time
D0313,2026-04-11,Zaporizhzhia,shipped,delivered on time
D0314,2026-05-28,Vinnytsia,shipped,delivered on time
D0315,2026-04-03,Poltava,pending,awaiting warehouse
D0316,2026-04-14,Poltava,cancelled,customer cancelled
D0317,2026-05-13,Kyiv,shipped,delivered on time
D0318,2026-06-05,Lviv,cancelled,customer cancelled
D0319,2026-04-13,Vinnytsia,cancelled,out of stock
D0320,2026-05-11,Odesa,pending,awaiting warehouse
D0321,2026-05-25,Kyiv,pending,awaiting warehouse
D0322,2026-07-29,Lviv,shipped,delivered on time
D0323,2026-06-26,Kyiv,cancelled,out of stock
D0324,2026-04-19,Dnipro,pending,payment pending
D0325,2026-04-13,Kharkiv,pending,awaiting warehouse
D0326,2026-07-06,Poltava,shipped,delivered on time
D0327,2026-04-19,Dnipro,shipped,delivered on time
D0328,2026-05-24,Kyiv,cancelled,customer cancelled
D0329,2026-05-03,Kyiv,pending,awaiting warehouse
D0330,2026-06-21,Poltava,shipped,delivered on time
D0331,2026-05-30,Dnipro,shipped,delivered on time
D0332,2026-06-03,Kyiv,shipped,delivered on time
D0333,2026-04-04,Dnipro,shipped,delivered on time
D0334,2026-04-22,Dnipro,pending,awaiting warehouse
D0335,2026-05-21,Odesa,cancelled,customer cancelled
D0336,2026-07-21,Vinnytsia,shipped,delivered on time
D0337,2026-07-06,Lviv,cancelled,out of stock
D0338,2026-05-04,Kharkiv,pending,awaiting warehouse
D0339,2026-06-27,Lviv,cancelled,customer cancelled
D0340,2026-05-09,Odesa,shipped,packaging damaged
D0341,2026-06-25,Zaporizhzhia,cancelled,out of stock
D0342,2026-05-16,Odesa,shipped,delivered on time
D0343,2026-05-15,Lviv,shipped,delivered on time
D0344,2026-06-11,Zaporizhzhia,cancelled,customer cancelled
D0345,2026-05-05,Lviv,pending,awaiting warehouse
D0346,2026-04-27,Vinnytsia,pending,awaiting warehouse
D0347,2026-05-10,Lviv,shipped,packaging damaged
D0348,2026-05-08,Odesa,cancelled,out of stock
D0349,2026-06-07,Kharkiv,cancelled,customer cancelled
D0350,2026-04-20,Kharkiv,pending,payment pending
D0351,2026-07-06,Dnipro,pending,awaiting warehouse
D0352,2026-04-15,Dnipro,cancelled,customer cancelled
D0353,2026-07-21,Lviv,shipped,delivered on time
D0354,2026-07-30,Lviv,shipped,delivered on time
D0355,2026-05-15,Kyiv,shipped,delivered on time
D0356,2026-07-24,Kyiv,shipped,delivered on time
D0357,2026-06-03,Dnipro,shipped,packaging damaged
D0358,2026-05-26,Vinnytsia,shipped,delivered on time
D0359,2026-06-13,Zaporizhzhia,shipped,packaging damaged
D0360,2026-04-28,Kyiv,pending,awaiting warehouse
D0361,2026-04-05,Poltava,shipped,delivered on time
D0362,2026-06-12,Vinnytsia,shipped,delivered on time
D0363,2026-04-03,Poltava,pending,awaiting warehouse
D0364,2026-07-18,Poltava,shipped,delivered on time
D0365,2026-06-06,Kyiv,shipped,packaging damaged
D0366,2026-05-14,Poltava,shipped,delivered on time
D0367,2026-07-06,Odesa,shipped,delivered on time
D0368,2026-05-17,Zaporizhzhia,shipped,delivered on time
D0369,2026-07-07,Poltava,shipped,delivered on time
D0370,2026-05-20,Zaporizhzhia,cancelled,customer cancelled
D0371,2026-04-07,Poltava,shipped,delivered on time
D0372,2026-04-18,Odesa,cancelled,out of stock
D0373,2026-08-01,Kyiv,shipped,delivered on time
D0374,2026-04-28,Zaporizhzhia,shipped,delivered on time
D0375,2026-04-27,Kyiv,pending,awaiting warehouse
D0376,2026-05-17,Kharkiv,shipped,delivered on time
D0377,2026-05-31,Odesa,pending,awaiting warehouse
D0378,2026-05-24,Kharkiv,pending,awaiting warehouse
D0379,2026-06-18,Poltava,shipped,delivered on time
D0380,2026-04-17,Kyiv,pending,awaiting warehouse
D0381,2026-05-02,Vinnytsia,shipped,delivered on time
D0382,2026-07-25,Zaporizhzhia,cancelled,customer cancelled
D0383,2026-04-24,Odesa,shipped,delivered on time
D0384,2026-06-25,Kyiv,cancelled,customer cancelled
D0385,2026-06-03,Kyiv,shipped,delivered on time
D0386,2026-06-17,Kharkiv,shipped,delivered on time
D0387,2026-06-24,Poltava,shipped,packaging damaged
D0388,2026-04-15,Zaporizhzhia,shipped,delivered on time
D0389,2026-06-02,Kharkiv,shipped,delivered on time
D0390,2026-06-03,Odesa,pending,awaiting warehouse
D0391,2026-06-22,Lviv,pending,awaiting warehouse
D0392,2026-06-05,Kyiv,pending,awaiting warehouse
D0393,2026-07-15,Vinnytsia,shipped,delivered on time
D0394,2026-06-08,Poltava,pending,awaiting warehouse
D0395,2026-06-10,Poltava,shipped,delivered on time
D0396,2026-07-27,Zaporizhzhia,shipped,delivered on time
D0397,2026-04-12,Dnipro,pending,awaiting warehouse
D0398,2026-05-19,Dnipro,shipped,delivered on time
D0399,2026-07-30,Odesa,cancelled,customer cancelled
D0400,2026-04-20,Odesa,shipped,delivered on time
D0401,2026-07-14,Zaporizhzhia,pending,awaiting warehouse
D0402,2026-06-08,Poltava,pending,payment pending
D0403,2026-06-25,Dnipro,shipped,delivered on time
D0404,2026-04-29,Lviv,cancelled,customer cancelled
D0405,2026-04-19,Kyiv,pending,awaiting warehouse
D0406,2026-06-21,Vinnytsia,shipped,delivered on time
D0407,2026-04-08,Zaporizhzhia,shipped,delivered on time
D0408,2026-04-12,Lviv,pending,payment pending
D0409,2026-07-08,Kyiv,shipped,delivered on time
D0410,2026-06-05,Lviv,shipped,packaging damaged
D0411,2026-06-23,Zaporizhzhia,pending,payment pending
D0412,2026-07-25,Dnipro,shipped,delivered on time
D0413,2026-04-05,Vinnytsia,pending,awaiting warehouse
D0414,2026-07-02,Odesa,shipped,delivered on time
D0415,2026-07-27,Lviv,shipped,delivered on time
D0416,2026-05-25,Kyiv,pending,awaiting warehouse
D0417,2026-06-07,Lviv,shipped,delivered on time
D0418,2026-04-18,Odesa,cancelled,out of stock
D0419,2026-05-26,Zaporizhzhia,shipped,delivered on time
D0420,2026-06-22,Dnipro,pending,awaiting warehouse
D0421,2026-05-11,Odesa,shipped,delivered on time
D0422,2026-05-13,Kharkiv,pending,payment pending
D0423,2026-04-27,Dnipro,shipped,delivered on time
D0424,2026-06-13,Dnipro,shipped,delivered on time
D0425,2026-07-14,Odesa,shipped,delivered on time
D0426,2026-06-25,Vinnytsia,pending,payment pending
D0427,2026-05-13,Vinnytsia,shipped,packaging damaged
D0428,2026-06-10,Odesa,shipped,delivered on time
D0429,2026-07-10,Kharkiv,shipped,delivered on time
D0430,2026-06-23,Vinnytsia,cancelled,customer cancelled
D0431,2026-06-24,Poltava,pending,payment pending
D0432,2026-04-20,Lviv,shipped,delivered on time
D0433,2026-04-09,Dnipro,shipped,delivered on time
D0434,2026-07-02,Dnipro,shipped,delivered on time
D0435,2026-04-13,Poltava,pending,awaiting warehouse
D0436,2026-07-01,Lviv,cancelled,customer cancelled
D0437,2026-06-22,Dnipro,shipped,delivered on time
D0438,2026-04-28,Kharkiv,pending,awaiting warehouse
D0439,2026-06-12,Dnipro,shipped,delivered on time
D0440,2026-05-24,Vinnytsia,cancelled,customer cancelled
D0441,2026-06-01,Poltava,shipped,delivered on time
D0442,2026-07-30,Zaporizhzhia,cancelled,out of stock
D0443,2026-05-13,Kharkiv,shipped,delivered on time
D0444,2026-06-16,Vinnytsia,shipped,delivered on time
D0445,2026-06-14,Vinnytsia,shipped,delivered on time
D0446,2026-07-31,Kharkiv,shipped,packaging damaged
D0447,2026-04-18,Kharkiv,shipped,delivered on time
D0448,2026-04-04,Vinnytsia,pending,awaiting warehouse
D0449,2026-05-23,Zaporizhzhia,shipped,delivered on time
D0450,2026-05-17,Poltava,shipped,packaging damaged
D0451,2026-06-13,Lviv,shipped,delivered on time
D0452,2026-05-18,Poltava,pending,awaiting warehouse
D0453,2026-07-19,Poltava,cancelled,customer cancelled
D0454,2026-06-22,Kharkiv,shipped,delivered on time
D0455,2026-06-30,Kyiv,shipped,delivered on time
D0456,2026-06-18,Vinnytsia,pending,awaiting warehouse
D0457,2026-05-23,Lviv,shipped,delivered on time
D0458,2026-07-15,Kharkiv,shipped,packaging damaged
D0459,2026-04-08,Dnipro,shipped,packaging damaged
D0460,2026-04-26,Zaporizhzhia,shipped,packaging damaged
D0461,2026-07-08,Dnipro,pending,awaiting warehouse
D0462,2026-07-15,Poltava,shipped,packaging damaged
D0463,2026-07-16,Vinnytsia,cancelled,out of stock
D0464,2026-04-12,Kyiv,shipped,delivered on time
D0465,2026-06-23,Vinnytsia,shipped,delivered on time
D0466,2026-05-16,Lviv,shipped,delivered on time
D0467,2026-08-01,Poltava,cancelled,out of stock
D0468,2026-04-10,Zaporizhzhia,shipped,delivered on time
D0469,2026-04-20,Vinnytsia,shipped,delivered on time
D0470,2026-06-28,Zaporizhzhia,shipped,delivered on time
D0471,2026-06-28,Zaporizhzhia,shipped,packaging damaged
D0472,2026-07-29,Lviv,pending,awaiting warehouse
D0473,2026-06-30,Lviv,shipped,delivered on time
D0474,2026-07-12,Kyiv,shipped,delivered on time
D0475,2026-04-21,Poltava,pending,awaiting warehouse
D0476,2026-07-25,Kharkiv,pending,awaiting warehouse
D0477,2026-04-09,Dnipro,shipped,delivered on time
D0478,2026-08-01,Vinnytsia,shipped,delivered on time
D0479,2026-04-28,Odesa,shipped,delivered on time
D0480,2026-04-13,Kharkiv,shipped,delivered on time
D0481,2026-05-01,Kyiv,shipped,delivered on time
D0482,2026-06-26,Kharkiv,cancelled,customer cancelled
D0483,2026-07-28,Vinnytsia,pending,awaiting warehouse
D0484,2026-04-10,Kyiv,shipped,delivered on time
D0485,2026-06-09,Kyiv,shipped,delivered on time
D0486,2026-07-02,Dnipro,cancelled,customer cancelled
D0487,2026-07-03,Kyiv,shipped,packaging damaged
D0488,2026-06-03,Kyiv,pending,awaiting warehouse
D0489,2026-07-28,Odesa,cancelled,customer cancelled
D0490,2026-07-22,Lviv,cancelled,customer cancelled
D0491,2026-04-09,Dnipro,shipped,packaging damaged
D0492,2026-07-22,Dnipro,shipped,packaging damaged
D0493,2026-07-05,Kharkiv,shipped,delivered on time
D0494,2026-05-24,Odesa,shipped,delivered on time
D0495,2026-07-30,Kharkiv,shipped,delivered on time
D0496,2026-06-01,Odesa,shipped,delivered on time
D0497,2026-04-19,Kharkiv,shipped,delivered on time
D0498,2026-07-05,Vinnytsia,shipped,delivered on time
